ay_g,ax_g,roll_deg,pitch_deg,ground_z_in,worst_order,worst_point,worst_min_z_in,worst_clearance_in,worst_clearance_mm,touches_ground,roll_then_pitch_clearance_in,pitch_then_roll_clearance_in
-0.25,0.7000000000000002,-0.1284444243246661,0.4995503304089208,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.534019470596585,1.609580529403416,40.88334544684676,False,1.609586123196972,1.609580529403416
-0.25,0.75,-0.1284444243246661,0.5352324968667007,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.5414516557593454,1.6021483442406557,40.69456794371265,False,1.6021547858013188,1.6021483442406557
-0.25,0.8000000000000003,-0.1284444243246661,0.5709146633244809,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.5488809874126903,1.5947190125873107,40.50586291971769,False,1.5947263616751188,1.5947190125873107
-0.25,0.8500000000000001,-0.1284444243246661,0.6065968297822608,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.5563074626751985,1.5872925373248026,40.31723044804998,False,1.5873008536994409,1.5872925373248026
-0.25,0.9000000000000004,-0.1284444243246661,0.642278996240041,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.563731078666557,1.579868921333444,40.12867060186947,False,1.5798782647542238,1.579868921333444
-0.25,0.9500000000000002,-0.1284444243246661,0.677961162697821,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.5711518325075606,1.5724481674924404,39.940183454307984,False,1.572458597718275,1.5724481674924404
-0.25,1.0,-0.1284444243246661,0.7136433291556009,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.5785697213201106,1.5650302786798904,39.751769078469216,False,1.5650418554692687,1.5650302786798904
-0.25,1.0500000000000003,-0.1284444243246661,0.7493254956133811,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.5859847422272275,1.5576152577727735,39.56342754742845,False,1.5576280408837428,1.5576152577727735
-0.25,1.1,-0.1284444243246661,0.785007662071161,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.5933968923530357,1.5502031076469653,39.375158934232914,False,1.5502171568371041,1.5502031076469653
-0.25,1.1500000000000004,-0.1284444243246661,0.8206898285289413,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.6008061688227806,1.5427938311772205,39.1869633119014,False,1.542809206203617,1.5427938311772205
-0.25,1.2000000000000002,-0.1284444243246661,0.8563719949867212,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.6082125687628142,1.535387431237187,38.998840753424545,False,1.5354041918564132,1.535387431237187
-0.25,1.25,-0.1284444243246661,0.8920541614445011,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.6156160893006093,1.5279839106993918,38.81079133176455,False,1.5280021166674844,1.5279839106993918
-0.25,1.3000000000000003,-0.1284444243246661,0.9277363279022813,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.623016727564758,1.520583272435243,38.62281511985517,False,1.5206029835076782,1.520583272435243
-0.25,1.35,-0.1284444243246661,0.9634184943600613,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.6304144806849625,1.5131855193150385,38.43491219060198,False,1.513206795246706,1.5131855193150385
-0.25,1.4000000000000004,-0.1284444243246661,0.9991006608178415,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.6378093457920486,1.5057906542079524,38.24708261688199,False,1.5058135547531366,1.5057906542079524
-0.25,1.4500000000000002,-0.1284444243246661,1.0347828272756214,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.645201320017963,1.4983986799820381,38.05932647154377,False,1.4984232648943943,1.4983986799820381
-0.25,1.5,-0.1284444243246661,1.0704649937334014,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.652590400495772,1.491009599504229,37.87164382740741,False,1.4910359285367587,1.491009599504229
-0.25,1.5500000000000003,-0.1284444243246661,1.1061471601911816,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.6599765843596654,1.4836234156403356,37.68403475726452,False,1.483651548545363,1.4836234156403356
-0.25,1.6,-0.1284444243246661,1.1418293266489614,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.667359868744955,1.4762401312550462,37.49649933387817,False,1.476270127784197,1.4762401312550462
-0.25,1.6500000000000004,-0.1284444243246661,1.1775114931067419,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.674740250788076,1.468859749211925,37.309037629982896,False,1.4688916691161005,1.468859749211925
-0.25,1.7000000000000002,-0.1284444243246661,1.2131936595645216,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.682117727626594,1.461482272373407,37.12164971828454,False,1.461516175402764,1.461482272373407
-0.25,1.75,-0.1284444243246661,1.2488758260223016,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.6894922963991967,1.4541077036008043,36.93433567146043,False,1.454143649504731,1.4541077036008043
-0.25,1.8000000000000003,-0.1284444243246661,1.2845579924800818,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.696863954245702,1.446736045754299,36.747095562159195,False,1.4467740942813903,1.446736045754299
-0.25,1.85,-0.1284444243246661,1.3202401589378618,-3.143600000000001,pitch_then_roll,rear_wing_thing,-1.7042326983070555,1.4393673016929456,36.55992946300081,False,1.4394075125909804,1.4393673016929456
