Fz,slipRatio,slipAngle_deg,Fx,Fy,ax_g,ay_g
200,-0.245,7.200000000000002,-4.537332724756038,17.722890267793165,-0.0014973359718953253,0.0058486169592835225
200,-0.245,7.400000000000002,-4.520452822900546,17.802224372332983,-0.0014917655441168223,0.005874797496557645
200,-0.245,7.600000000000001,-4.501865067656268,17.881548847181087,-0.0014856315186326013,0.0059009748559991785
200,-0.245,7.800000000000002,-4.481647420651167,17.96086343814834,-0.001478959623057774,0.005927148953724802
200,-0.245,8.0,-4.459882873328027,18.04016789140794,-0.0014717772448642709,0.005953319705970765
200,-0.245,8.200000000000003,-4.436658659884233,18.119461953498615,-0.001464113171648164,0.005979487029093945
200,-0.245,8.400000000000002,-4.412065453795598,18.1987453713278,-0.0014559973259796652,0.0060056508395728925
200,-0.245,8.600000000000001,-4.386196560473733,18.278017892174812,-0.0014474604989771816,0.006031811054008883
200,-0.245,8.8,-4.359147118276339,18.357279263694004,-0.0014385340866378618,0.006057967589126952
200,-0.245,9.0,-4.331013319449493,18.43652923391789,-0.0014292498327457763,0.006084120361776932
200,-0.245,9.200000000000003,-4.301891661656236,18.515767551260325,-0.001419639581873682,0.006110269288934498
200,-0.245,9.400000000000002,-4.271878239575345,18.594993964519585,-0.0014097350456080918,0.006136414287702185
200,-0.245,9.600000000000001,-4.241068084688512,18.67420822288151,-0.0013995675846766912,0.006162555275310428
200,-0.245,9.8,-4.209554559871334,18.75341007592258,-0.0013891680091612073,0.006188692169118571
200,-0.245,10.0,-4.177428813824594,18.832599273613045,-0.001378566398457786,0.0062148248866159056
200,-0.245,10.200000000000003,-4.144779298788395,18.911775566319967,-0.0013677919421209372,0.006240953345422674
200,-0.245,10.400000000000002,-4.111691353429457,18.990938704810315,-0.0013568728022148575,0.006267077463291085
200,-0.245,10.600000000000001,-4.078246851331077,19.070088440253997,-0.0013458359973138624,0.006293197158106324
200,-0.245,10.8,-4.044523914186554,19.14922452422695,-0.001334707307855195,0.006319312347887563
200,-0.245,11.0,-4.010596687630653,19.228346708714117,-0.0013235112021626103,0.006345422950788951
200,-0.245,11.200000000000003,-3.9765351766598935,19.30745474611252,-0.0013122707821344828,0.00637152888510062
200,-0.245,11.400000000000002,-3.942405136800399,19.386548389234246,-0.0013010077473288107,0.006397630069249679
200,-0.245,11.600000000000001,-3.9082680165826056,19.46562739130946,-0.001289742375979663,0.0064237264218012045
200,-0.245,11.8,-3.874180946467554,19.54469150598936,-0.001278493521342817,0.0064498178614592104
200,-0.245,12.000000000000002,-3.8401967691265395,19.623740487349206,-0.001267278621688151,0.00647590430706766
200,-0.24,-12.000000000000002,-2.541590226052928,10.253930354109345,-0.0008387338337616048,0.0033838335656424267
200,-0.24,-11.8,-2.5545671124366347,10.334153521395844,-0.000843016252522633,0.003410307496791902
200,-0.24,-11.6,-2.5677926771386805,10.41439287211795,-0.0008473807360150944,0.003436786768532811
200,-0.24,-11.4,-2.5812730053650257,10.494648129221263,-0.0008518292923786455,0.003463271289436214
200,-0.24,-11.2,-2.595014328152267,10.574919015675848,-0.0008563639778775733,0.0034897609680812464
200,-0.24,-11.0,-2.609023023033214,10.655205254479956,-0.0008609868971204365,0.0035162557130563425
200,-0.24,-10.8,-2.6233056142925055,10.735506568663766,-0.000865700203144421,0.0035427554329604746
200,-0.24,-10.600000000000001,-2.6378687727541634,10.815822681293112,-0.0008705060973452314,0.0035692600364043803
200,-0.24,-10.4,-2.6527193150367894,10.896153315473212,-0.0008754068292313031,0.0035957694320117957
200,-0.24,-10.2,-2.6678642022052417,10.976498194352407,-0.0008804046959788512,0.0036222835284206853
200,-0.24,-10.0,-2.683310537740238,11.056857041125888,-0.0008855020417618318,0.003648802234284476
200,-0.24,-9.8,-2.699065564739192,11.137229579039438,-0.0008907012568282085,0.0036753254582732897
200,-0.24,-9.6,-2.7151366622527977,11.217615531393154,-0.0008960047762910121,0.0037018531090751722
200,-0.24,-9.4,-2.7315313406522814,11.298014621545182,-0.0009014150785995169,0.0037283850953973257
200,-0.24,-9.200000000000001,-2.748257235911923,11.378426572915451,-0.0009069346836524529,0.0037549213259673413
200,-0.24,-9.0,-2.7653221026801864,11.458851108989409,-0.0009125661505114533,0.0037814617095344298
200,-0.24,-8.8,-2.782733806000776,11.539287953321749,-0.0009183120746689746,0.0038080061548706563
200,-0.24,-8.6,-2.800500311531933,11.619736829540134,-0.0009241750848206292,0.0038345545707721635
200,-0.24,-8.4,-2.818629674098376,11.700197461348932,-0.0009301578390872841,0.0038611068660604083
200,-0.24,-8.2,-2.8371300243954636,11.780669572532952,-0.0009362630206273889,0.003887662949583393
200,-0.24,-8.0,-2.8560095536493417,11.86115288696115,-0.000942493332574768,0.003914222730216889
200,-0.24,-7.8,-2.8752764960201347,11.941647128590379,-0.0009488514922316121,0.003940786116865673
200,-0.24,-7.6,-2.8949391085176437,12.022152021469095,-0.0009553402244405867,0.003967353018464754
200,-0.24,-7.3999999999999995,-2.9150056481805784,12.102667289741088,-0.000961962254053897,0.003993923343980598
200,-0.24,-7.199999999999999,-2.9354843462511955,12.183192657649204,-0.0009687202974108269,0.004020497002412361
200,-0.24,-7.0,-2.9563833790574767,12.263727849539059,-0.0009756170527287539,0.004047073902793114
