Fz,sr,sa_deg,Fx,Fy
200,-0.25,3.6000000000000014,-4.497266423490056,16.059981421666
200,-0.25,3.8000000000000007,-4.514846678250135,16.13830602423079
200,-0.25,4.0,-4.530761844547539,16.216625702384206
200,-0.25,4.199999999999999,-4.544945768714343,16.29494019970028
200,-0.25,4.400000000000002,-4.557338543425712,16.373249260052003
200,-0.25,4.600000000000001,-4.567887095993587,16.451552627614596
200,-0.25,4.800000000000001,-4.576545716678111,16.529850046868848
200,-0.25,5.0,-4.583276518750365,16.60814126260439
200,-0.25,5.199999999999999,-4.588049823159733,16.686426019922987
200,-0.25,5.400000000000002,-4.590844461880768,16.764704064241794
200,-0.25,5.600000000000001,-4.591647995306608,16.84297514129666
200,-0.25,5.800000000000001,-4.5904568403931565,16.92123899714535
200,-0.25,6.0,-4.587276307621798,16.999495378170817
200,-0.25,6.199999999999999,-4.582120546224804,17.07774403108444
200,-0.25,6.400000000000002,-4.575012398497345,17.15598470292923
200,-0.25,6.600000000000001,-4.565983165394834,17.23421714108309
200,-0.25,6.800000000000001,-4.555072286973792,17.312441093261988
200,-0.25,7.0,-4.542326942564697,17.39065630752319
200,-0.25,7.200000000000003,-4.527801576845776,17.468862532268435
200,-0.25,7.400000000000002,-4.511557359191184,17.547059516247128
200,-0.25,7.600000000000001,-4.493661584762809,17.625247008559487
200,-0.25,7.800000000000001,-4.474187026766067,17.70342475865976
200,-0.25,8.0,-4.453211250059178,17.781592516359314
200,-0.25,8.200000000000003,-4.43081589685784,17.859750031829822
200,-0.25,8.400000000000002,-4.407085955584559,17.93789705560637
200,-0.25,8.600000000000001,-4.382109023954413,18.016033338590606
200,-0.25,8.8,-4.355974577159529,18.09415863205383
200,-0.25,9.0,-4.328773251517668,18.172272687640085
200,-0.25,9.200000000000003,-4.300596153204887,18.25037525736928
200,-0.25,9.400000000000002,-4.271534200728008,18.328466093640255
200,-0.25,9.600000000000001,-4.2416775086500165,18.406544949233844
200,-0.25,9.8,-4.211114818807428,18.48461157731593
200,-0.25,10.0,-4.179932983904158,18.562665731440507
200,-0.25,10.200000000000003,-4.148216506982988,18.640707165552715
200,-0.25,10.400000000000002,-4.116047138912288,18.718735633991855
200,-0.25,10.600000000000001,-4.083503534726237,18.796750891494394
200,-0.25,10.8,-4.050660968458285,18.874752693197003
200,-0.25,11.0,-4.017591105038774,18.952740794639514
200,-0.25,11.200000000000003,-3.984361826908642,19.030714951767912
200,-0.25,11.400000000000002,-3.9510371122432866,19.108674920937307
200,-0.25,11.600000000000001,-3.917676961087581,19.186620458914895
200,-0.25,11.8,-3.884337365271267,19.264551322882863
200,-0.25,12.0,-3.8510703176942966,19.3424672704414
200,-0.245,-12.0,-2.5617387062838164,10.101754196651134
200,-0.245,-11.8,-2.5747818571978853,10.180786790868071
200,-0.245,-11.6,-2.5880725177488726,10.259835328346067
200,-0.245,-11.4,-2.6016166337235593,10.338899536142428
200,-0.245,-11.2,-2.615420286900725,10.41797914133855
200,-0.245,-11.0,-2.6294896950906135,10.497073871043606
200,-0.245,-10.8,-2.6438312117294176,10.576183452398213
200,-0.245,-10.6,-2.658451324969514,10.655307612578126
200,-0.245,-10.4,-2.6733566562000775,10.734446078797887
200,-0.245,-10.2,-2.6885539579260036,10.813598578314531
200,-0.245,-10.0,-2.704050110925821,10.892764838431242
200,-0.245,-9.8,-2.7198521206013986,10.971944586501047
200,-0.245,-9.6,-2.7359671124237237,11.05113754993048
200,-0.245,-9.4,-2.7524023263698054,11.130343456183267
200,-0.245,-9.2,-2.7691651102358255,11.209562032783994
200,-0.245,-9.0,-2.7862629117009297,11.288793007321795
200,-0.245,-8.8,-2.8037032690046435,11.368036107454024
200,-0.245,-8.6,-2.8214938000885668,11.44729106090992
200,-0.245,-8.4,-2.839642190039983,11.526557595494289
200,-0.245,-8.2,-2.8581561766611494,11.605835439091186
200,-0.245,-8.0,-2.877043533973345,11.685124319667562
200,-0.245,-7.8,-2.896312053449444,11.764423965276958
200,-0.245,-7.6,-2.9159695227526323,11.843734104063167
200,-0.245,-7.3999999999999995,-2.9360237017422546,11.923054464263892
200,-0.245,-7.199999999999999,-2.956482295490615,12.002384774214425
200,-0.245,-7.0,-2.977352924037082,12.081724762351307
200,-0.245,-6.8,-2.998643088588259,12.161074157215989
200,-0.245,-6.6,-3.0203601338555592,12.240432687458489
200,-0.245,-6.3999999999999995,-3.04251120620455,12.319800081841057
200,-0.245,-6.199999999999999,-3.065103207274387,12.399176069241827
200,-0.245,-6.0,-3.0881427427109034,12.478560378658472
200,-0.245,-5.8,-3.1116360656442343,12.557952739211856
200,-0.245,-5.6,-3.135589014531737,12.637352880149683
200,-0.245,-5.3999999999999995,-3.1600069449803643,12.71676053085013
200,-0.245,-5.199999999999999,-3.184894655160505,12.796175420825517
200,-0.245,-5.0,-3.210256304426703,12.875597279725916
200,-0.245,-4.8,-3.2360953247708637,12.955025837342815
200,-0.245,-4.6,-3.262414324752041,13.034460823612728
200,-0.245,-4.3999999999999995,-3.2892149855752666,13.113901968620848
200,-0.245,-4.199999999999999,-3.316497949031827,13.193349002604652
200,-0.245,-4.0,-3.3442626970670406,13.27280165595754
200,-0.245,-3.799999999999999,-3.3725074228108305,13.35225965923245
200,-0.245,-3.5999999999999996,-3.401228892993572,13.43172274314547
200,-0.245,-3.4000000000000004,-3.430422301777104,13.511190638579448
200,-0.245,-3.1999999999999993,-3.460081116160608,13.590663076587614
200,-0.245,-3.0,-3.49019691327573,13.670139788397167
200,-0.245,-2.799999999999999,-3.5207592100666947,13.749620505412881
200,-0.245,-2.5999999999999996,-3.5517552860611854,13.829104959220698
200,-0.245,-2.3999999999999986,-3.5831700001776605,13.908592881591327
200,-0.245,-2.1999999999999993,-3.6149856027852216,13.98808400448381
200,-0.245,-2.0,-3.647181544532949,14.06757806004912
200,-0.245,-1.799999999999999,-3.6797342837954625,14.147074780633739
