Time, Position, Speed, Acceleration, Torque, Drag, RPM, Power, Available Power, Charge, Voltage, Current, Motor Torque
0.21,0.165,1.613,7.868,558.230,0.605,259.336,4169.0,67786.681,49.999,112.978,36.9,153.51
0.21,0.166,1.621,7.868,558.230,0.611,260.601,4189.4,67782.082,49.999,112.970,37.1,153.51
0.21,0.168,1.629,7.868,558.230,0.617,261.865,4209.7,67777.483,49.999,112.962,37.3,153.51
0.21,0.169,1.637,7.868,558.230,0.623,263.130,4230.1,67772.884,49.999,112.955,37.4,153.51
0.21,0.171,1.645,7.868,558.230,0.629,264.395,4250.4,67768.284,49.999,112.947,37.6,153.51
0.21,0.173,1.652,7.868,558.230,0.635,265.660,4270.7,67763.683,49.999,112.939,37.8,153.51
0.21,0.174,1.660,7.868,558.230,0.641,266.925,4291.1,67759.082,49.999,112.932,38.0,153.51
0.21,0.176,1.668,7.868,558.230,0.647,268.190,4311.4,67754.480,49.999,112.924,38.2,153.51
0.21,0.178,1.676,7.868,558.230,0.653,269.454,4331.7,67749.877,49.999,112.916,38.4,153.51
0.22,0.179,1.684,7.868,558.230,0.659,270.719,4352.1,67745.274,49.999,112.909,38.5,153.51
0.22,0.181,1.692,7.868,558.230,0.665,271.984,4372.4,67740.670,49.999,112.901,38.7,153.51
0.22,0.183,1.700,7.868,558.230,0.672,273.249,4392.7,67736.066,49.999,112.893,38.9,153.51
0.22,0.184,1.708,7.868,558.230,0.678,274.514,4413.1,67731.460,49.999,112.886,39.1,153.51
0.22,0.186,1.715,7.868,558.230,0.684,275.779,4433.4,67726.855,49.999,112.878,39.3,153.51
0.22,0.188,1.723,7.868,558.230,0.690,277.043,4453.7,67722.248,49.999,112.870,39.5,153.51
0.22,0.190,1.731,7.868,558.230,0.697,278.308,4474.0,67717.641,49.999,112.863,39.6,153.51
0.22,0.191,1.739,7.868,558.230,0.703,279.573,4494.4,67713.034,49.999,112.855,39.8,153.51
0.22,0.193,1.747,7.868,558.230,0.709,280.838,4514.7,67708.426,49.999,112.847,40.0,153.51
0.22,0.195,1.755,7.868,558.230,0.716,282.103,4535.0,67703.817,49.999,112.840,40.2,153.51
0.23,0.197,1.763,7.867,558.230,0.722,283.367,4555.4,67699.207,49.999,112.832,40.4,153.51
0.23,0.198,1.771,7.867,558.230,0.729,284.632,4575.7,67694.597,49.999,112.824,40.6,153.51
0.23,0.200,1.778,7.867,558.230,0.735,285.897,4596.0,67689.986,49.999,112.817,40.7,153.51
0.23,0.202,1.786,7.867,558.230,0.742,287.162,4616.4,67685.375,49.999,112.809,40.9,153.51
0.23,0.204,1.794,7.867,558.230,0.748,288.427,4636.7,67680.763,49.999,112.801,41.1,153.51
0.23,0.205,1.802,7.867,558.230,0.755,289.691,4657.0,67676.150,49.999,112.794,41.3,153.51
0.23,0.207,1.810,7.867,558.230,0.761,290.956,4677.4,67671.537,49.999,112.786,41.5,153.51
0.23,0.209,1.818,7.867,558.230,0.768,292.221,4697.7,67666.923,49.999,112.778,41.7,153.51
0.23,0.211,1.826,7.867,558.230,0.775,293.486,4718.0,67662.309,49.999,112.771,41.8,153.51
0.23,0.213,1.833,7.867,558.230,0.781,294.750,4738.4,67657.694,49.999,112.763,42.0,153.51
0.24,0.215,1.841,7.867,558.230,0.788,296.015,4758.7,67653.078,49.999,112.755,42.2,153.51
0.24,0.216,1.849,7.867,558.230,0.795,297.280,4779.0,67648.462,49.999,112.747,42.4,153.51
0.24,0.218,1.857,7.867,558.230,0.802,298.545,4799.4,67643.845,49.999,112.740,42.6,153.51
0.24,0.220,1.865,7.867,558.230,0.809,299.810,4819.7,67639.227,49.999,112.732,42.8,153.51
0.24,0.222,1.873,7.867,558.230,0.815,301.074,4840.0,67634.609,49.999,112.724,42.9,153.51
0.24,0.224,1.881,7.867,558.230,0.822,302.339,4860.4,67629.990,49.999,112.717,43.1,153.51
0.24,0.226,1.889,7.867,558.230,0.829,303.604,4880.7,67625.370,49.999,112.709,43.3,153.51
0.24,0.228,1.896,7.867,558.230,0.836,304.869,4901.0,67620.750,49.999,112.701,43.5,153.51
0.24,0.229,1.904,7.867,558.230,0.843,306.133,4921.4,67616.129,49.999,112.694,43.7,153.51
0.24,0.231,1.912,7.867,558.230,0.850,307.398,4941.7,67611.508,49.999,112.686,43.9,153.51
0.25,0.233,1.920,7.867,558.230,0.857,308.663,4962.0,67606.886,49.999,112.678,44.0,153.51
0.25,0.235,1.928,7.867,558.230,0.864,309.928,4982.4,67602.263,49.999,112.670,44.2,153.51
0.25,0.237,1.936,7.867,558.230,0.871,311.192,5002.7,67597.640,49.998,112.663,44.4,153.51
0.25,0.239,1.944,7.867,558.230,0.878,312.457,5023.0,67593.016,49.998,112.655,44.6,153.51
